Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
01_PB2,H1N1,Human,55390,1.0563,1.2415,0.9913,1.0089,0.1313
01_PB2,H1N1,Non-human Mammal,4024,0.9948,1.2237,0.8729,0.9035,0.1632
01_PB2,H3N2,Human,63604,0.9961,1.1762,0.9385,0.9587,0.1187
01_PB2,H3N2,Non-human Mammal,2826,0.9274,1.1703,0.8284,0.8614,0.1525
01_PB2,H2N2,Human,104,1.2677,1.3674,1.1748,1.1769,0.1292
01_PB2,H1N2,Human,76,1.524,1.676,1.242,1.2875,0.267
01_PB2,H1N2,Non-human Mammal,2991,0.958,1.1682,0.8441,0.8703,0.1457
01_PB2,H3N8,Human,8,1.6927,1.7278,1.6732,1.6795,0.0314
01_PB2,H3N8,Non-human Mammal,235,1.113,1.3401,0.9584,0.986,0.1856
01_PB2,H7N7,Human,32,1.5958,1.7132,1.5223,1.5105,0.1163
01_PB2,H7N7,Non-human Mammal,11,1.2102,1.2446,1.1667,1.1435,0.1107
01_PB2,H7N9,Human,894,1.4464,1.6296,1.3213,1.3173,0.1795
01_PB2,H7N9,Non-human Mammal,3,1.7031,1.7131,1.6907,1.6973,0.016
01_PB2,H9N2,Human,69,1.6827,1.7659,1.5578,1.5335,0.1792
01_PB2,H9N2,Non-human Mammal,47,1.6169,1.7141,1.4953,1.4782,0.174
01_PB2,H5N1,Human,400,1.5755,1.7294,1.4669,1.458,0.1715
01_PB2,H5N1,Non-human Mammal,130,1.7082,1.7609,1.6818,1.6445,0.1093
01_PB2,H5N6,Human,42,1.6947,1.743,1.5781,1.548,0.1737
01_PB2,H5N6,Non-human Mammal,21,1.6386,1.7049,1.5308,1.547,0.1206
01_PB2,H5Nx (North America),Human,28,1.8088,1.8195,1.7821,1.7893,0.0212
01_PB2,H5Nx (North America),Non-human Mammal,1903,1.7234,1.7402,1.7151,1.7107,0.0319
02_PB1,H1N1,Human,49561,0.9868,1.2192,0.9088,0.9391,0.1374
02_PB1,H1N1,Non-human Mammal,3968,1.0699,1.2828,0.9479,0.9782,0.1574
02_PB1,H3N2,Human,62096,0.9259,1.1806,0.8523,0.8833,0.1386
02_PB1,H3N2,Non-human Mammal,2817,1.0384,1.2611,0.9336,0.963,0.1493
02_PB1,H2N2,Human,99,1.4399,1.5423,1.2994,1.3078,0.1589
02_PB1,H1N2,Human,76,1.3967,1.6205,1.2464,1.249,0.2333
02_PB1,H1N2,Non-human Mammal,2959,1.0297,1.2659,0.9328,0.9604,0.1468
02_PB1,H3N8,Human,7,1.7384,1.7523,1.717,1.719,0.029
02_PB1,H3N8,Non-human Mammal,231,1.1925,1.3353,1.0975,1.0904,0.1614
02_PB1,H7N7,Human,3,1.656,1.666,1.6435,1.628,0.0501
02_PB1,H7N7,Non-human Mammal,11,1.2416,1.3216,1.1722,1.1943,0.0816
02_PB1,H7N9,Human,890,1.5433,1.6595,1.4485,1.4441,0.1363
02_PB1,H7N9,Non-human Mammal,2,1.7502,1.7605,1.7373,1.7373,0.0364
02_PB1,H9N2,Human,68,1.6828,1.7486,1.5436,1.5507,0.1409
02_PB1,H9N2,Non-human Mammal,49,1.7161,1.7777,1.6515,1.6032,0.1609
02_PB1,H5N1,Human,399,1.5766,1.7541,1.4769,1.487,0.1406
02_PB1,H5N1,Non-human Mammal,120,1.8003,1.8224,1.7726,1.7155,0.135
02_PB1,H5N6,Human,43,1.7673,1.7981,1.5753,1.6006,0.1604
02_PB1,H5N6,Non-human Mammal,20,1.7141,1.7764,1.6398,1.6502,0.0811
02_PB1,H5Nx (North America),Human,24,1.7463,1.764,1.7388,1.7405,0.0166
02_PB1,H5Nx (North America),Non-human Mammal,1742,1.8114,1.8189,1.8064,1.7921,0.0509
03_PA,H1N1,Human,55052,0.9716,1.116,0.9201,0.9361,0.0942
03_PA,H1N1,Non-human Mammal,4040,0.8364,0.9865,0.7375,0.7526,0.1338
03_PA,H3N2,Human,65367,0.8478,0.9905,0.7916,0.8175,0.0918
03_PA,H3N2,Non-human Mammal,2821,0.814,0.9968,0.7139,0.7427,0.139
03_PA,H2N2,Human,97,1.1077,1.2028,1.022,1.0213,0.1168
03_PA,H1N2,Human,77,1.4424,1.6089,1.0941,1.1844,0.2687
03_PA,H1N2,Non-human Mammal,3050,0.8283,0.9969,0.7315,0.7499,0.136
03_PA,H3N8,Human,6,1.7235,1.7381,1.6752,1.672,0.062
03_PA,H3N8,Non-human Mammal,231,0.9347,1.1362,0.8372,0.8675,0.1467
03_PA,H7N7,Human,4,1.6119,1.6529,1.5876,1.5927,0.054
03_PA,H7N7,Non-human Mammal,11,1.073,1.114,0.9919,0.9954,0.0948
03_PA,H7N9,Human,909,1.419,1.5231,1.299,1.2842,0.1655
03_PA,H7N9,Non-human Mammal,3,1.6453,1.6569,1.6308,1.6396,0.0175
03_PA,H9N2,Human,67,1.6204,1.688,1.5033,1.4899,0.1612
03_PA,H9N2,Non-human Mammal,42,1.5109,1.6117,1.3608,1.3665,0.1689
03_PA,H5N1,Human,410,1.514,1.7175,1.4068,1.3951,0.1843
03_PA,H5N1,Non-human Mammal,122,1.7019,1.7322,1.6421,1.5978,0.1638
03_PA,H5N6,Human,46,1.7152,1.7727,1.5096,1.5329,0.1874
03_PA,H5N6,Non-human Mammal,21,1.5578,1.6514,1.5106,1.4912,0.1228
03_PA,H5Nx (North America),Human,30,1.7992,1.8141,1.7666,1.7719,0.028
03_PA,H5Nx (North America),Non-human Mammal,1926,1.7528,1.7659,1.7424,1.7266,0.0486
04_HA,H1N1,Human,89703,1.1631,1.2605,1.113,1.1012,0.1101
04_HA,H1N1,Non-human Mammal,7915,1.1635,1.334,1.0423,1.0459,0.1812
04_HA,H3N2,Human,98599,0.9802,1.1155,0.9045,0.9072,0.1254
04_HA,H3N2,Non-human Mammal,5074,1.1028,1.2649,1.0256,1.0332,0.1255
04_HA,H2N2,Human,100,1.425,1.5872,1.3119,1.2823,0.2014
04_HA,H1N2,Human,80,1.4347,1.5465,1.2451,1.2393,0.2114
04_HA,H1N2,Non-human Mammal,6179,1.1054,1.2681,1.0261,1.0188,0.1529
04_HA,H3N8,Human,5,1.5684,1.5751,1.5269,1.5363,0.0345
04_HA,H3N8,Non-human Mammal,599,1.2395,1.368,1.0884,1.1009,0.1774
04_HA,H7N7,Human,41,1.3808,1.4865,1.2228,1.2338,0.1768
04_HA,H7N7,Non-human Mammal,12,1.3975,1.4403,1.3728,1.3416,0.0873
04_HA,H7N9,Human,911,1.2633,1.5052,1.1115,1.0628,0.2762
04_HA,H7N9,Non-human Mammal,3,1.7297,1.7522,1.7017,1.689,0.0758
04_HA,H9N2,Human,83,1.4865,1.6582,1.4461,1.4114,0.1558
