Segment,Subtype,Host_Group,n_samples,maz_lower_q75,maz_upper_q95,median_distance,mean_distance,sd_distance
01_PB2,H1N1,Human,55390,0.8937,1.0241,0.853,0.8523,0.1014
01_PB2,H1N1,Non-human Mammal,4024,0.8945,1.0243,0.8076,0.7997,0.1428
01_PB2,H3N2,Human,63604,0.886,0.9935,0.8499,0.8482,0.0902
01_PB2,H3N2,Non-human Mammal,2826,0.8966,1.0446,0.8123,0.8073,0.1414
01_PB2,H2N2,Human,104,0.7696,0.8711,0.6945,0.7058,0.1034
01_PB2,H1N2,Human,76,0.8765,0.9896,0.7894,0.7877,0.1294
01_PB2,H1N2,Non-human Mammal,2991,0.8802,1.0279,0.797,0.7915,0.1437
01_PB2,H3N8,Human,8,0.1797,0.2745,0.1751,0.1898,0.0557
01_PB2,H3N8,Non-human Mammal,235,0.8042,0.9165,0.6984,0.6842,0.155
01_PB2,H7N7,Human,32,0.2903,0.3867,0.2778,0.2837,0.0656
01_PB2,H7N7,Non-human Mammal,11,0.5953,0.6527,0.5647,0.5514,0.0863
01_PB2,H7N9,Human,894,0.3922,0.5321,0.3218,0.3464,0.0949
01_PB2,H7N9,Non-human Mammal,3,0.3468,0.4206,0.2546,0.3156,0.107
01_PB2,H9N2,Human,69,0.329,0.4442,0.2776,0.2819,0.1094
01_PB2,H9N2,Non-human Mammal,47,0.3893,0.6105,0.3131,0.349,0.1248
01_PB2,H5N1,Human,400,0.3994,0.56,0.306,0.3359,0.1167
01_PB2,H5N1,Non-human Mammal,130,0.2518,0.3687,0.1919,0.2183,0.0998
01_PB2,H5N6,Human,42,0.345,0.4094,0.2673,0.2768,0.0913
01_PB2,H5N6,Non-human Mammal,21,0.3445,0.4031,0.3053,0.3054,0.0689
01_PB2,H5Nx (North America),Human,28,0.1715,0.1773,0.1679,0.1619,0.0137
01_PB2,H5Nx (North America),Non-human Mammal,1903,0.1956,0.2065,0.1907,0.1886,0.0225
02_PB1,H1N1,Human,49561,0.9123,1.0469,0.8633,0.8562,0.1039
02_PB1,H1N1,Non-human Mammal,3968,0.8358,0.99,0.7533,0.7489,0.143
02_PB1,H3N2,Human,62096,0.8531,1.0291,0.8106,0.8186,0.1101
02_PB1,H3N2,Non-human Mammal,2817,0.8249,0.9677,0.7532,0.7431,0.1366
02_PB1,H2N2,Human,99,0.5523,0.6505,0.5006,0.4959,0.0923
02_PB1,H1N2,Human,76,0.824,0.9576,0.7123,0.7113,0.1587
02_PB1,H1N2,Non-human Mammal,2959,0.8203,0.9598,0.7478,0.7367,0.1401
02_PB1,H3N8,Human,7,0.1721,0.225,0.1016,0.134,0.0627
02_PB1,H3N8,Non-human Mammal,231,0.716,0.7941,0.6523,0.6393,0.1104
02_PB1,H7N7,Human,3,0.2691,0.2999,0.2305,0.2469,0.0544
02_PB1,H7N7,Non-human Mammal,11,0.6711,0.7698,0.6466,0.6303,0.0999
02_PB1,H7N9,Human,890,0.2397,0.3091,0.2037,0.2036,0.0646
02_PB1,H7N9,Non-human Mammal,2,0.1989,0.2051,0.1911,0.1911,0.022
02_PB1,H9N2,Human,68,0.2608,0.3314,0.2008,0.2045,0.0908
02_PB1,H9N2,Non-human Mammal,49,0.2883,0.5122,0.2253,0.2673,0.126
02_PB1,H5N1,Human,399,0.3056,0.4055,0.2444,0.2549,0.0838
02_PB1,H5N1,Non-human Mammal,120,0.2273,0.3708,0.1447,0.1915,0.1152
02_PB1,H5N6,Human,43,0.2586,0.3527,0.2018,0.2039,0.088
02_PB1,H5N6,Non-human Mammal,20,0.2638,0.3,0.2187,0.231,0.0497
02_PB1,H5Nx (North America),Human,24,0.1469,0.1578,0.1422,0.1408,0.0145
02_PB1,H5Nx (North America),Non-human Mammal,1742,0.155,0.2224,0.1519,0.1559,0.0247
03_PA,H1N1,Human,55052,1.1094,1.1701,1.088,1.0741,0.0774
03_PA,H1N1,Non-human Mammal,4040,1.0517,1.1553,0.9743,0.9685,0.1221
03_PA,H3N2,Human,65367,1.0684,1.1643,1.0449,1.0343,0.0803
03_PA,H3N2,Non-human Mammal,2821,1.0328,1.1357,0.9641,0.9487,0.125
03_PA,H2N2,Human,97,0.9731,1.0782,0.8971,0.8987,0.1068
03_PA,H1N2,Human,77,1.0338,1.1172,0.9507,0.9476,0.128
03_PA,H1N2,Non-human Mammal,3050,1.0331,1.1329,0.9588,0.947,0.1292
03_PA,H3N8,Human,6,0.3346,0.3856,0.3277,0.3033,0.077
03_PA,H3N8,Non-human Mammal,231,0.9314,1.0246,0.83,0.8334,0.1306
03_PA,H7N7,Human,4,0.3455,0.4569,0.29,0.3362,0.0994
03_PA,H7N7,Non-human Mammal,11,0.7491,0.8334,0.7167,0.7242,0.0657
03_PA,H7N9,Human,909,0.4496,0.7268,0.3873,0.4196,0.1336
03_PA,H7N9,Non-human Mammal,3,0.3274,0.3291,0.3252,0.3182,0.0161
03_PA,H9N2,Human,67,0.477,0.6461,0.3614,0.3948,0.1479
03_PA,H9N2,Non-human Mammal,42,0.5395,0.8425,0.4626,0.4918,0.1813
03_PA,H5N1,Human,410,0.5143,0.6696,0.4095,0.421,0.1422
03_PA,H5N1,Non-human Mammal,122,0.3223,0.4387,0.1964,0.2624,0.1508
03_PA,H5N6,Human,46,0.4497,0.6549,0.3507,0.3559,0.1541
03_PA,H5N6,Non-human Mammal,21,0.4095,0.4593,0.35,0.3302,0.1045
03_PA,H5Nx (North America),Human,30,0.1972,0.2095,0.1907,0.1907,0.0154
03_PA,H5Nx (North America),Non-human Mammal,1926,0.177,0.2193,0.1701,0.1759,0.0221
04_HA,H1N1,Human,89703,0.7678,0.8432,0.733,0.7314,0.0758
04_HA,H1N1,Non-human Mammal,7915,0.6968,0.7924,0.6186,0.6309,0.0938
04_HA,H3N2,Human,98599,0.9351,1.0574,0.8653,0.8593,0.1225
04_HA,H3N2,Non-human Mammal,5074,0.7349,0.8502,0.666,0.675,0.099
04_HA,H2N2,Human,100,0.418,0.5658,0.3596,0.3661,0.106
04_HA,H1N2,Human,80,0.7335,0.8915,0.6427,0.6583,0.125
04_HA,H1N2,Non-human Mammal,6179,0.6989,0.8168,0.6144,0.6357,0.1022
04_HA,H3N8,Human,5,0.2082,0.2174,0.205,0.2012,0.0187
04_HA,H3N8,Non-human Mammal,599,0.5957,0.7394,0.53,0.5325,0.1142
04_HA,H7N7,Human,41,0.3305,0.3858,0.2685,0.2773,0.0825
04_HA,H7N7,Non-human Mammal,12,0.564,0.6605,0.4857,0.5021,0.1045
04_HA,H7N9,Human,911,0.3635,0.4805,0.2638,0.3005,0.0952
04_HA,H7N9,Non-human Mammal,3,0.2357,0.2439,0.2254,0.2198,0.0294
04_HA,H9N2,Human,83,0.2905,0.4079,0.2111,0.2299,0.0964
04_HA,H9N2,Non-human Mammal,61,0.354,0.4058,0.2981,0.2998,0.0717
04_HA,H5N1,Human,564,0.3319,0.429,0.2674,0.2742,0.0914
04_HA,H5N1,Non-human Mammal,152,0.2552,0.3632,0.1521,0.1863,0.0947
04_HA,H5N6,Human,52,0.2261,0.3367,0.1988,0.2116,0.0626
