Segment,Fold,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
01_PB2,0,Orig,Human,0.1196,0.7119,0.121,-0.1184,UNDERCONF
01_PB2,0,Orig,Avian,0.0279,0.5241,0.0238,0.0234,OVERCONF
01_PB2,0,Orig,Non-human Mammal,0.0975,0.5537,0.095,0.095,OVERCONF
01_PB2,0,Cal,Human,0.0031,0.4959,0.0013,-0.0012,BALANCED
01_PB2,0,Cal,Avian,0.0014,0.5906,0.0011,0.001,BALANCED
01_PB2,0,Cal,Non-human Mammal,0.0019,0.5459,0.0019,0.0002,BALANCED
01_PB2,1,Orig,Human,0.0545,0.5612,0.0543,-0.0494,UNDERCONF
01_PB2,1,Orig,Avian,0.0148,0.3692,0.0114,0.0062,BALANCED
01_PB2,1,Orig,Non-human Mammal,0.0449,0.418,0.0432,0.0432,OVERCONF
01_PB2,1,Cal,Human,0.0026,0.4271,0.001,-0.001,BALANCED
01_PB2,1,Cal,Avian,0.0015,0.477,0.0001,0.0001,BALANCED
01_PB2,1,Cal,Non-human Mammal,0.0011,0.5486,0.0016,0.0009,BALANCED
01_PB2,2,Orig,Human,0.1817,0.5226,0.1806,-0.1708,UNDERCONF
01_PB2,2,Orig,Avian,0.0319,0.3077,0.0298,0.016,BALANCED
01_PB2,2,Orig,Non-human Mammal,0.1573,0.4311,0.1548,0.1548,OVERCONF
01_PB2,2,Cal,Human,0.0019,0.3617,0.001,-0.001,BALANCED
01_PB2,2,Cal,Avian,0.0017,0.7078,0.0004,0.0003,BALANCED
01_PB2,2,Cal,Non-human Mammal,0.0008,0.175,0.0016,0.0007,BALANCED
01_PB2,3,Orig,Human,0.1142,0.6196,0.1141,-0.1086,UNDERCONF
01_PB2,3,Orig,Avian,0.0224,0.3407,0.0191,0.0106,BALANCED
01_PB2,3,Orig,Non-human Mammal,0.1001,0.4871,0.098,0.098,OVERCONF
01_PB2,3,Cal,Human,0.002,0.3764,0.0011,-0.0009,BALANCED
01_PB2,3,Cal,Avian,0.0014,0.8462,0.0004,0.0003,BALANCED
01_PB2,3,Cal,Non-human Mammal,0.0007,0.4138,0.0013,0.0006,BALANCED
01_PB2,4,Orig,Human,0.0985,0.6072,0.0975,-0.0912,UNDERCONF
01_PB2,4,Orig,Avian,0.0164,0.3347,0.0138,0.0067,BALANCED
01_PB2,4,Orig,Non-human Mammal,0.0868,0.4133,0.0844,0.0844,OVERCONF
01_PB2,4,Cal,Human,0.0023,0.2955,0.0012,-0.0012,BALANCED
01_PB2,4,Cal,Avian,0.0013,0.7122,0.0011,0.001,BALANCED
01_PB2,4,Cal,Non-human Mammal,0.0009,0.3091,0.0013,0.0002,BALANCED
01_PB2,5,Orig,Human,0.1264,0.609,0.1249,-0.1205,UNDERCONF
01_PB2,5,Orig,Avian,0.0199,0.3285,0.0167,0.012,BALANCED
01_PB2,5,Orig,Non-human Mammal,0.1103,0.5308,0.1085,0.1085,OVERCONF
01_PB2,5,Cal,Human,0.0016,0.2619,0.0012,-0.0012,BALANCED
01_PB2,5,Cal,Avian,0.0013,0.4918,0.0012,0.0011,BALANCED
01_PB2,5,Cal,Non-human Mammal,0.0005,0.2711,0.0012,0.0001,BALANCED
01_PB2,6,Orig,Human,0.1125,0.7065,0.1127,-0.11,UNDERCONF
01_PB2,6,Orig,Avian,0.013,0.4146,0.0104,0.0088,BALANCED
01_PB2,6,Orig,Non-human Mammal,0.1029,0.4753,0.1012,0.1012,OVERCONF
01_PB2,6,Cal,Human,0.002,0.2433,0.0014,-0.0014,BALANCED
01_PB2,6,Cal,Avian,0.0014,0.3853,0.0012,0.0011,BALANCED
01_PB2,6,Cal,Non-human Mammal,0.0008,0.2993,0.0016,0.0003,BALANCED
01_PB2,7,Orig,Human,0.168,0.6404,0.1673,-0.158,UNDERCONF
01_PB2,7,Orig,Avian,0.0394,0.3694,0.0354,0.0217,OVERCONF
01_PB2,7,Orig,Non-human Mammal,0.1405,0.4444,0.1363,0.1363,OVERCONF
01_PB2,7,Cal,Human,0.0024,0.1526,0.0015,-0.0015,BALANCED
01_PB2,7,Cal,Avian,0.0015,0.418,0.0009,0.0008,BALANCED
01_PB2,7,Cal,Non-human Mammal,0.0012,0.2322,0.0013,0.0006,BALANCED
01_PB2,8,Orig,Human,0.1166,0.6588,0.1161,-0.1112,UNDERCONF
01_PB2,8,Orig,Avian,0.0205,0.4232,0.0168,0.0093,BALANCED
01_PB2,8,Orig,Non-human Mammal,0.1037,0.586,0.1019,0.1019,OVERCONF
01_PB2,8,Cal,Human,0.0021,0.3626,0.0014,-0.0014,BALANCED
01_PB2,8,Cal,Avian,0.001,0.4646,0.0011,0.001,BALANCED
01_PB2,8,Cal,Non-human Mammal,0.0012,0.5652,0.0019,0.0004,BALANCED
01_PB2,9,Orig,Human,0.1551,0.6086,0.1546,-0.1477,UNDERCONF
01_PB2,9,Orig,Avian,0.0321,0.3258,0.0291,0.0159,BALANCED
01_PB2,9,Orig,Non-human Mammal,0.1356,0.4283,0.1318,0.1318,OVERCONF
01_PB2,9,Cal,Human,0.0017,0.2968,0.0013,-0.0013,BALANCED
01_PB2,9,Cal,Avian,0.0012,0.4478,0.0011,0.0011,BALANCED
01_PB2,9,Cal,Non-human Mammal,0.0006,0.3201,0.0015,0.0003,BALANCED
02_PB1,0,Orig,Human,0.1319,0.612,0.1294,-0.1241,UNDERCONF
02_PB1,0,Orig,Avian,0.0194,0.3285,0.0184,0.0102,BALANCED
02_PB1,0,Orig,Non-human Mammal,0.1172,0.4885,0.1139,0.1139,OVERCONF
02_PB1,0,Cal,Human,0.0014,0.6646,0.0012,-0.0012,BALANCED
