Segment,Calibration,Class,Directionality,ECE (Mean±Std),MCE (Mean±Std),ACE (Mean±Std),MCS (Mean±Std)
01_PB2,Cal,Avian,BALANCED,0.0014 ± 0.0002,0.5541 ± 0.1533,0.0009 ± 0.0004,0.0008 ± 0.0004
01_PB2,Cal,Human,BALANCED,0.0022 ± 0.0004,0.3274 ± 0.0983,0.0012 ± 0.0002,-0.0012 ± 0.0002
01_PB2,Cal,Non-human Mammal,BALANCED,0.0010 ± 0.0004,0.3680 ± 0.1417,0.0015 ± 0.0002,0.0004 ± 0.0003
01_PB2,Orig,Avian,BALANCED,0.0238 ± 0.0087,0.3738 ± 0.0651,0.0206 ± 0.0085,0.0131 ± 0.0060
01_PB2,Orig,Human,UNDERCONF,0.1247 ± 0.0365,0.6246 ± 0.0587,0.1243 ± 0.0363,-0.1186 ± 0.0348
01_PB2,Orig,Non-human Mammal,OVERCONF,0.1080 ± 0.0315,0.4768 ± 0.0613,0.1055 ± 0.0309,0.1055 ± 0.0309
02_PB1,Cal,Avian,BALANCED,0.0012 ± 0.0002,0.5445 ± 0.2110,0.0009 ± 0.0005,0.0008 ± 0.0004
02_PB1,Cal,Human,BALANCED,0.0016 ± 0.0004,0.3425 ± 0.1404,0.0012 ± 0.0001,-0.0011 ± 0.0001
02_PB1,Cal,Non-human Mammal,BALANCED,0.0006 ± 0.0004,0.4088 ± 0.1417,0.0014 ± 0.0004,0.0004 ± 0.0003
02_PB1,Orig,Avian,BALANCED,0.0222 ± 0.0042,0.3477 ± 0.0381,0.0211 ± 0.0042,0.0105 ± 0.0043
02_PB1,Orig,Human,UNDERCONF,0.1232 ± 0.0188,0.5710 ± 0.0425,0.1207 ± 0.0179,-0.1145 ± 0.0175
02_PB1,Orig,Non-human Mammal,OVERCONF,0.1076 ± 0.0176,0.4673 ± 0.0480,0.1040 ± 0.0162,0.1040 ± 0.0162
03_PA,Cal,Avian,BALANCED,0.0014 ± 0.0003,0.6157 ± 0.1776,0.0015 ± 0.0003,0.0014 ± 0.0003
03_PA,Cal,Human,BALANCED,0.0023 ± 0.0004,0.3142 ± 0.1163,0.0015 ± 0.0002,-0.0013 ± 0.0002
03_PA,Cal,Non-human Mammal,BALANCED,0.0009 ± 0.0004,0.3090 ± 0.1546,0.0013 ± 0.0004,0.0000 ± 0.0002
03_PA,Orig,Avian,BALANCED,0.0266 ± 0.0120,0.5049 ± 0.0536,0.0214 ± 0.0114,0.0181 ± 0.0106
03_PA,Orig,Human,UNDERCONF,0.1308 ± 0.0335,0.5789 ± 0.0525,0.1300 ± 0.0338,-0.1253 ± 0.0332
