Segment,Calibration,Class,ECE,MCE,ACE,MCS,Directionality
01_PB2,Orig,Human,0.081,0.4093,0.0794,-0.0655,UNDERCONF
01_PB2,Orig,Avian,0.0302,0.2314,0.0305,-0.0002,BALANCED
01_PB2,Orig,Non-human Mammal,0.0806,0.3285,0.0802,0.0657,OVERCONF
01_PB2,Cal,Human,0.0032,0.0821,0.003,-0.0022,BALANCED
01_PB2,Cal,Avian,0.0044,0.1995,0.0046,0.0044,BALANCED
01_PB2,Cal,Non-human Mammal,0.0037,0.1676,0.0037,-0.0022,BALANCED
02_PB1,Orig,Human,0.0802,0.3768,0.0777,-0.0622,UNDERCONF
02_PB1,Orig,Avian,0.0276,0.2439,0.0245,-0.0007,BALANCED
02_PB1,Orig,Non-human Mammal,0.0806,0.3235,0.0805,0.0629,OVERCONF
02_PB1,Cal,Human,0.0028,0.0512,0.0033,-0.0019,BALANCED
02_PB1,Cal,Avian,0.0046,0.2367,0.0048,0.0045,BALANCED
02_PB1,Cal,Non-human Mammal,0.0039,0.1077,0.0039,-0.0026,BALANCED
03_PA,Orig,Human,0.0874,0.4216,0.0881,-0.0771,UNDERCONF
03_PA,Orig,Avian,0.0287,0.3437,0.0287,0.0103,BALANCED
03_PA,Orig,Non-human Mammal,0.0801,0.309,0.0779,0.0668,OVERCONF
03_PA,Cal,Human,0.0076,0.0825,0.0038,-0.0038,BALANCED
03_PA,Cal,Avian,0.0066,0.2796,0.0067,0.0066,BALANCED
03_PA,Cal,Non-human Mammal,0.0069,0.1384,0.007,-0.0028,BALANCED
04_HA,Orig,Human,0.143,0.4107,0.1413,-0.1162,UNDERCONF
04_HA,Orig,Avian,0.037,0.1901,0.0282,-0.0097,BALANCED
04_HA,Orig,Non-human Mammal,0.139,0.3768,0.1352,0.1259,OVERCONF
04_HA,Cal,Human,0.0022,0.0459,0.0018,-0.0018,BALANCED
04_HA,Cal,Avian,0.002,0.1423,0.0021,0.002,BALANCED
04_HA,Cal,Non-human Mammal,0.0009,0.0783,0.001,-0.0002,BALANCED
05_NP,Orig,Human,0.0672,0.3397,0.0674,-0.0478,UNDERCONF
05_NP,Orig,Avian,0.027,0.2834,0.0274,-0.0017,BALANCED
05_NP,Orig,Non-human Mammal,0.0685,0.2452,0.0672,0.0495,OVERCONF
05_NP,Cal,Human,0.0037,0.0637,0.0032,-0.0022,BALANCED
05_NP,Cal,Avian,0.0059,0.2878,0.006,0.0059,BALANCED
05_NP,Cal,Non-human Mammal,0.0058,0.1335,0.0042,-0.0037,BALANCED
06_NA,Orig,Human,0.1376,0.4078,0.1382,-0.1257,UNDERCONF
06_NA,Orig,Avian,0.0326,0.294,0.033,0.0077,BALANCED
06_NA,Orig,Non-human Mammal,0.1344,0.3441,0.1328,0.118,OVERCONF
06_NA,Cal,Human,0.0034,0.1072,0.0024,-0.0022,BALANCED
06_NA,Cal,Avian,0.0043,0.1926,0.0044,0.0043,BALANCED
06_NA,Cal,Non-human Mammal,0.0029,0.1713,0.0026,-0.0021,BALANCED
07_MP,Orig,Human,0.0633,0.3908,0.0595,-0.0528,UNDERCONF
07_MP,Orig,Avian,0.0205,0.339,0.0186,0.0071,BALANCED
07_MP,Orig,Non-human Mammal,0.0703,0.316,0.0658,0.0458,OVERCONF
07_MP,Cal,Human,0.0045,0.0948,0.0097,-0.0031,BALANCED
07_MP,Cal,Avian,0.0071,0.3334,0.0073,0.0071,BALANCED
07_MP,Cal,Non-human Mammal,0.0077,0.12,0.0061,-0.004,BALANCED
08_NS,Orig,Human,0.0565,0.3222,0.0564,-0.0407,UNDERCONF
08_NS,Orig,Avian,0.0233,0.2955,0.0215,-0.0023,BALANCED
08_NS,Orig,Non-human Mammal,0.0582,0.2557,0.0532,0.043,OVERCONF
08_NS,Cal,Human,0.0029,0.0664,0.0023,-0.0021,BALANCED
08_NS,Cal,Avian,0.0046,0.2578,0.0052,0.0046,BALANCED
08_NS,Cal,Non-human Mammal,0.0037,0.1001,0.0032,-0.0025,BALANCED
